Crypto Name,Price,Time Stamp
Bitcoin price,"76,465.88",2024-11-07 14:50:55.536876
Bitcoin price,"76,409.20",2024-11-07 14:51:05.659545
Bitcoin price,"76,409.20",2024-11-07 14:51:15.782563
Bitcoin price,"76,409.20",2024-11-07 14:51:25.901053
Bitcoin price,"76,409.20",2024-11-07 14:51:36.032857
Bitcoin price,"76,409.20",2024-11-07 14:51:46.153843
Bitcoin price,"76,409.20",2024-11-07 14:51:56.359113
Bitcoin price,"76,409.20",2024-11-07 14:52:06.485267
Bitcoin price,"76,409.20",2024-11-07 14:52:16.609863
Bitcoin price,"76,409.20",2024-11-07 14:52:26.729472
Bitcoin price,"76,465.60",2024-11-07 14:54:15.750886
Bitcoin price,"76,465.60",2024-11-07 14:54:25.877112
Bitcoin price,"76,465.60",2024-11-07 14:54:36.011464
Bitcoin price,"76,465.60",2024-11-07 14:54:46.132346
Bitcoin price,"76,465.60",2024-11-07 14:54:56.416073
Bitcoin price,"76,465.60",2024-11-07 14:55:06.542336
Bitcoin price,"76,465.60",2024-11-07 14:55:16.694148
Bitcoin price,"76,465.60",2024-11-07 14:55:26.813172
Bitcoin price,"76,465.60",2024-11-07 14:55:36.935720
Bitcoin price,"76,465.60",2024-11-07 14:55:47.053364
Bitcoin price,"76,465.60",2024-11-07 14:55:57.177299
Bitcoin price,"76,465.60",2024-11-07 14:56:07.302838
Bitcoin price,"76,465.60",2024-11-07 14:56:17.474554
Bitcoin price,"76,465.60",2024-11-07 14:56:27.599304
Bitcoin price,"76,465.60",2024-11-07 14:56:37.713313
Bitcoin price,"76,465.60",2024-11-07 14:56:47.836879
Bitcoin price,"76,465.60",2024-11-07 14:56:57.969119
Bitcoin price,"76,509.68",2024-11-07 14:57:08.087871
Bitcoin price,"76,509.68",2024-11-07 14:57:18.234291
Bitcoin price,"76,509.68",2024-11-07 14:57:28.514964
Bitcoin price,"76,509.68",2024-11-07 14:57:38.639400
Bitcoin price,"76,509.68",2024-11-07 14:57:48.768999
Bitcoin price,"76,509.68",2024-11-07 14:57:58.892525
Bitcoin price,"76,509.68",2024-11-07 14:58:09.548310
Bitcoin price,"76,509.68",2024-11-07 14:58:20.218127
Bitcoin price,"76,509.68",2024-11-07 14:58:30.848577
Bitcoin price,"76,509.68",2024-11-07 14:58:41.503637
Bitcoin price,"76,509.68",2024-11-07 14:58:52.089641
Bitcoin price,"76,527.14",2024-11-07 14:59:02.488323
Bitcoin price,"76,527.14",2024-11-07 14:59:12.619267
Bitcoin price,"76,527.14",2024-11-07 14:59:22.764822
Bitcoin price,"76,527.14",2024-11-07 14:59:32.885568
Bitcoin price,"76,527.14",2024-11-07 14:59:43.172628
Bitcoin price,"76,527.14",2024-11-07 14:59:53.299245
Bitcoin price,"76,527.14",2024-11-07 15:00:03.435374
Bitcoin price,"76,527.14",2024-11-07 15:00:13.590341
Bitcoin price,"76,527.14",2024-11-07 15:00:23.782573
Bitcoin price,"76,527.14",2024-11-07 15:00:33.902124
Bitcoin price,"76,527.14",2024-11-07 15:00:44.031496
Bitcoin price,"76,527.14",2024-11-07 15:00:54.153118
Bitcoin price,"76,643.78",2024-11-07 15:01:04.269712
Bitcoin price,"76,643.78",2024-11-07 15:01:14.392471
Bitcoin price,"76,643.78",2024-11-07 15:01:24.548890
Bitcoin price,"76,643.78",2024-11-07 15:01:34.681792
Bitcoin price,"76,224.39",2024-11-07 15:48:04.020441
Bitcoin price,"76,224.39",2024-11-07 15:48:14.276454
Bitcoin price,"76,224.39",2024-11-07 15:48:24.400779
Bitcoin price,"76,224.39",2024-11-07 15:48:34.888884
Bitcoin price,"76,224.39",2024-11-07 15:48:45.010148
Bitcoin price,"76,224.39",2024-11-07 15:48:55.134912
Bitcoin price,"76,224.39",2024-11-07 15:49:05.297166
